iter	RMSE
0	5.677372511
1	5.666483406
2	5.657672386
3	5.650796146
4	5.644449882
5	5.639275939
6	5.634833695
7	5.631200863
8	5.628277653
9	5.625877042
10	5.62367883
11	5.621999699
12	5.620486209
13	5.61913796
14	5.618130102
15	5.617035735
16	5.616090586
17	5.615153834
18	5.614562669
19	5.613927853
20	5.613457978
21	5.612722735
22	5.612263727
23	5.611853102
24	5.611426128
25	5.610989222
26	5.610410997
27	5.609993547
28	5.609700511
29	5.609429672
30	5.609177824
31	5.608970663
32	5.608702198
33	5.608448711
34	5.608247145
35	5.607995511
36	5.607873705
37	5.607618306
38	5.607410552
39	5.607186994
40	5.607112026
41	5.606935848
42	5.606756451
43	5.606576245
44	5.606361222
45	5.606187698
46	5.606038271
47	5.60589607
48	5.605769398
49	5.605642723
50	5.60550078
51	5.605289198
52	5.605217419
53	5.605067965
54	5.604996719
55	5.604840027
56	5.604751368
57	5.604566008
58	5.604364569
59	5.604244292
60	5.604134728
61	5.604034538
62	5.603967029
63	5.603904877
64	5.603831205
65	5.603762622
66	5.603710916
67	5.603636974
68	5.603567317
69	5.603478905
70	5.603384061
71	5.603305024
72	5.60322277
73	5.60312551
74	5.603038967
75	5.602906872
76	5.602836938
77	5.602786563
78	5.602709393
79	5.602576486
80	5.602545403
81	5.602432858
82	5.602374976
83	5.602320578
84	5.602260016
85	5.602181766
86	5.602043219
87	5.601963091
88	5.60184973
89	5.601691343
90	5.60162863
91	5.601579852
92	5.601509634
93	5.601410469
94	5.601327115
95	5.601241884
96	5.601056944
97	5.600957771
98	5.600883256
99	5.600804183
100	5.600717872
101	5.600613331
102	5.600544977
103	5.600424886
104	5.600373686
105	5.600313639
106	5.60022169
107	5.600100788
108	5.600061916
109	5.599958704
110	5.599879618
111	5.599802408
112	5.599686859
113	5.599628949
114	5.599534576
115	5.599534845
116	5.599486585
117	5.599405884
118	5.599357087
119	5.59929837
120	5.599183883
121	5.599094865
122	5.59899673
123	5.598954901
124	5.598878751
125	5.598796164
126	5.598702045
127	5.598645466
128	5.598551345
129	5.598498787
130	5.598384819
131	5.598271386
132	5.59819174
133	5.598145615
134	5.598071867
135	5.597980686
136	5.59789299
137	5.597818434
138	5.597753533
139	5.597689434
140	5.597603612
141	5.597497404
142	5.597420697
143	5.597339966
144	5.597241264
145	5.59717555
146	5.59707309
147	5.596997718
148	5.596915908
149	5.596857702
150	5.596776962
151	5.596723046
152	5.596676372
153	5.59661709
154	5.596487258
155	5.596424755
156	5.596355813
157	5.59630377
158	5.596219536
159	5.59612913
160	5.596093986
161	5.596004651
162	5.595931144
163	5.595880439
164	5.595804783
165	5.595754077
166	5.595672249
167	5.595558492
168	5.595505906
169	5.595464051
170	5.595402341
171	5.595317288
172	5.595266309
173	5.59518984
174	5.595151471
175	5.59508627
176	5.594977331
177	5.594914275
178	5.594831629
179	5.594781451
180	5.594720539
181	5.594648088
182	5.594606226
183	5.594555778
184	5.594488691
185	5.594414627
186	5.594318824
187	5.594269983
188	5.594228119
189	5.594186523
190	5.59412641
191	5.594089912
192	5.594039727
193	5.593985248
194	5.593948481
195	5.593893195
196	5.593848913
197	5.593790943
198	5.59374505
199	5.593694862
200	5.593596363
201	5.593540001
202	5.593473439
203	5.593411439
204	5.593378963
205	5.593337897
206	5.59329361
207	5.593218725
208	5.593178195
209	5.593125049
210	5.593083445
211	5.593059288
212	5.592984131
213	5.59293313
214	5.592878372
215	5.592837034
216	5.592764559
217	5.59271973
218	5.592672218
219	5.592627389
220	5.592558937
221	5.59251357
222	5.592460687
223	5.592405924
224	5.592359751
225	5.592306597
226	5.592227403
227	5.592172101
228	5.592129953
229	5.592094516
230	5.592044044
231	5.591968874
232	5.591905246
233	5.59187464
234	5.591834101
235	5.591805642
236	5.591766444
237	5.591711406
238	5.591645896
239	5.59159032
240	5.591553
241	5.591490173
242	5.591452584
243	5.591376063
244	5.591334446
245	5.591296319
246	5.591251747
247	5.591205028
248	5.591151326
249	5.591102726
250	5.591073727
251	5.591027543
252	5.590980015
253	5.590937053
254	5.590894627
255	5.590817829
256	5.590779967
257	5.59071928
258	5.590692696
259	5.590642749
260	5.59061509
261	5.59056192
262	5.5905399
263	5.590503916
264	5.590458532
265	5.590428993
266	5.590378775
267	5.590361857
268	5.590316472
269	5.59026867
270	5.590239398
271	5.590191865
272	5.590168769
273	5.590120966
274	5.590065911
275	5.590024553
276	5.589975674
277	5.589914441
278	5.589856162
279	5.589815876
280	5.589779887
281	5.589733424
282	5.589670845
283	5.589638884
284	5.589617129
285	5.589565293
286	5.589518022
287	5.589468333
288	5.589439325
289	5.58939259
290	5.589346123
291	5.589311475
292	5.589256681
293	5.589240565
294	5.589204035
295	5.589144137
296	5.589100354
297	5.589060869
298	5.589024606
299	5.588953693
