iter	Passed	Remaining
0	13	3910
1	24	3716
2	37	3701
3	49	3679
4	62	3667
5	74	3627
6	86	3620
7	99	3625
8	111	3612
9	123	3578
10	135	3552
11	147	3539
12	159	3517
13	171	3506
14	183	3484
15	195	3474
16	208	3466
17	220	3447
18	232	3433
19	244	3423
20	256	3412
21	269	3402
22	281	3393
23	294	3382
24	306	3371
25	318	3354
26	330	3343
27	343	3332
28	355	3322
29	367	3311
30	379	3295
31	391	3280
32	404	3269
33	415	3254
34	428	3247
35	441	3236
36	453	3222
37	465	3210
38	477	3193
39	489	3182
40	500	3162
41	512	3150
42	524	3135
43	537	3124
44	549	3112
45	560	3097
46	572	3082
47	584	3070
48	596	3056
49	609	3047
50	621	3034
51	633	3023
52	645	3008
53	657	2993
54	668	2979
55	681	2967
56	693	2956
57	705	2942
58	717	2931
59	730	2920
60	741	2906
61	753	2892
62	765	2878
63	776	2864
64	789	2855
65	802	2844
66	813	2828
67	826	2818
68	837	2802
69	849	2792
70	861	2779
71	873	2765
72	885	2754
73	897	2742
74	909	2728
75	921	2715
76	933	2704
77	946	2693
78	958	2681
79	972	2673
80	985	2663
81	997	2652
82	1009	2638
83	1021	2627
84	1033	2615
85	1046	2603
86	1058	2591
87	1071	2580
88	1082	2566
89	1096	2557
90	1107	2544
91	1119	2530
92	1131	2519
93	1144	2508
94	1156	2495
95	1168	2482
96	1180	2470
97	1192	2457
98	1205	2446
99	1216	2433
100	1229	2422
101	1241	2410
102	1254	2398
103	1266	2387
104	1280	2377
105	1291	2364
106	1304	2352
107	1316	2339
108	1329	2328
109	1340	2315
110	1352	2302
111	1364	2290
112	1377	2278
113	1389	2267
114	1402	2256
115	1405	2228
116	1416	2216
117	1429	2204
118	1442	2193
119	1454	2181
120	1465	2168
121	1478	2156
122	1490	2144
123	1503	2133
124	1514	2120
125	1526	2108
126	1538	2095
127	1549	2082
128	1562	2071
129	1574	2059
130	1587	2047
131	1599	2035
132	1612	2024
133	1624	2012
134	1636	2000
135	1649	1988
136	1661	1977
137	1673	1964
138	1685	1952
139	1697	1939
140	1709	1927
141	1722	1916
142	1734	1904
143	1746	1892
144	1758	1879
145	1770	1868
146	1784	1857
147	1796	1845
148	1809	1833
149	1820	1820
150	1833	1808
151	1844	1796
152	1856	1783
153	1868	1771
154	1880	1759
155	1892	1746
156	1904	1734
157	1917	1723
158	1929	1711
159	1942	1699
160	1955	1688
161	1968	1676
162	1979	1663
163	1992	1652
164	2004	1640
165	2016	1628
166	2029	1616
167	2041	1604
168	2054	1592
169	2066	1580
170	2079	1568
171	2091	1556
172	2104	1544
173	2116	1532
174	2129	1520
175	2140	1508
176	2153	1496
177	2167	1485
178	2179	1473
179	2192	1461
180	2204	1449
181	2216	1437
182	2229	1425
183	2241	1412
184	2253	1400
185	2265	1388
186	2278	1376
187	2290	1364
188	2301	1351
189	2313	1339
190	2326	1327
191	2338	1315
192	2350	1303
193	2363	1291
194	2375	1279
195	2388	1267
196	2400	1255
197	2412	1243
198	2425	1230
199	2436	1218
200	2449	1206
201	2461	1194
202	2473	1181
203	2486	1169
204	2498	1157
205	2510	1145
206	2523	1133
207	2535	1121
208	2548	1109
209	2560	1097
210	2573	1085
211	2585	1073
212	2598	1061
213	2610	1048
214	2622	1036
215	2634	1024
216	2646	1012
217	2658	999
218	2670	987
219	2682	975
220	2694	963
221	2706	950
222	2720	939
223	2732	927
224	2745	915
225	2756	902
226	2769	890
227	2781	878
228	2794	866
229	2806	854
230	2818	842
231	2831	829
232	2843	817
233	2856	805
234	2868	793
235	2880	781
236	2893	769
237	2905	756
238	2917	744
239	2929	732
240	2942	720
241	2954	708
242	2965	695
243	2978	683
244	2990	671
245	3001	658
246	3014	646
247	3028	634
248	3040	622
249	3052	610
250	3063	598
251	3075	585
252	3087	573
253	3099	561
254	3112	549
255	3125	537
256	3139	525
257	3151	512
258	3163	500
259	3176	488
260	3189	476
261	3202	464
262	3215	452
263	3227	440
264	3240	427
265	3253	415
266	3266	403
267	3278	391
268	3293	379
269	3305	367
270	3317	354
271	3329	342
272	3342	330
273	3354	318
274	3367	306
275	3381	294
276	3393	281
277	3406	269
278	3418	257
279	3431	245
280	3443	232
281	3455	220
282	3468	208
283	3480	196
284	3493	183
285	3506	171
286	3518	159
287	3531	147
288	3544	134
289	3557	122
290	3569	110
291	3582	98
292	3595	85
293	3607	73
294	3619	61
295	3632	49
296	3645	36
297	3658	24
298	3671	12
299	3684	0
